id,id_curva,indicador_codigo,sexo_codigo,edad_valor,percentil_codigo,percentil,valor
466,1,BMI,M,92,P01,0.1,12.269
467,1,BMI,M,92,P1,1.0,12.935
468,1,BMI,M,92,P3,3.0,13.365
469,1,BMI,M,92,P5,5.0,13.608
470,1,BMI,M,92,P10,10.0,14.002
471,1,BMI,M,92,P15,15.0,14.284
472,1,BMI,M,92,P25,25.0,14.726
473,1,BMI,M,92,P50,50.0,15.646
474,1,BMI,M,92,P75,75.0,16.715
475,1,BMI,M,92,P85,85.0,17.366
476,1,BMI,M,92,P90,90.0,17.842
477,1,BMI,M,92,P95,95.0,18.609
478,1,BMI,M,92,P97,97.0,19.151
479,1,BMI,M,92,P99,99.0,20.286
480,1,BMI,M,92,P999,99.9,22.667
481,1,BMI,M,93,P01,0.1,12.281
482,1,BMI,M,93,P1,1.0,12.948
483,1,BMI,M,93,P3,3.0,13.379
484,1,BMI,M,93,P5,5.0,13.622
485,1,BMI,M,93,P10,10.0,14.017
486,1,BMI,M,93,P15,15.0,14.3
487,1,BMI,M,93,P25,25.0,14.744
488,1,BMI,M,93,P50,50.0,15.668
489,1,BMI,M,93,P75,75.0,16.744
490,1,BMI,M,93,P85,85.0,17.4
491,1,BMI,M,93,P90,90.0,17.881
492,1,BMI,M,93,P95,95.0,18.656
493,1,BMI,M,93,P97,97.0,19.205
494,1,BMI,M,93,P99,99.0,20.356
495,1,BMI,M,93,P999,99.9,22.779
496,1,BMI,M,94,P01,0.1,12.294
497,1,BMI,M,94,P1,1.0,12.961
498,1,BMI,M,94,P3,3.0,13.393
499,1,BMI,M,94,P5,5.0,13.636
500,1,BMI,M,94,P10,10.0,14.033
501,1,BMI,M,94,P15,15.0,14.317
502,1,BMI,M,94,P25,25.0,14.762
503,1,BMI,M,94,P50,50.0,15.69
504,1,BMI,M,94,P75,75.0,16.774
505,1,BMI,M,94,P85,85.0,17.435
506,1,BMI,M,94,P90,90.0,17.921
507,1,BMI,M,94,P95,95.0,18.704
508,1,BMI,M,94,P97,97.0,19.259
509,1,BMI,M,94,P99,99.0,20.426
510,1,BMI,M,94,P999,99.9,22.892
511,1,BMI,M,95,P01,0.1,12.307
512,1,BMI,M,95,P1,1.0,12.975
513,1,BMI,M,95,P3,3.0,13.407
514,1,BMI,M,95,P5,5.0,13.651
515,1,BMI,M,95,P10,10.0,14.049
516,1,BMI,M,95,P15,15.0,14.333
517,1,BMI,M,95,P25,25.0,14.781
518,1,BMI,M,95,P50,50.0,15.713
519,1,BMI,M,95,P75,75.0,16.804
520,1,BMI,M,95,P85,85.0,17.471
521,1,BMI,M,95,P90,90.0,17.961
522,1,BMI,M,95,P95,95.0,18.753
523,1,BMI,M,95,P97,97.0,19.315
524,1,BMI,M,95,P99,99.0,20.498
525,1,BMI,M,95,P999,99.9,23.009
526,1,BMI,M,96,P01,0.1,12.32
527,1,BMI,M,96,P1,1.0,12.988
528,1,BMI,M,96,P3,3.0,13.422
529,1,BMI,M,96,P5,5.0,13.666
530,1,BMI,M,96,P10,10.0,14.065
531,1,BMI,M,96,P15,15.0,14.35
532,1,BMI,M,96,P25,25.0,14.799
533,1,BMI,M,96,P50,50.0,15.737
534,1,BMI,M,96,P75,75.0,16.835
535,1,BMI,M,96,P85,85.0,17.508
536,1,BMI,M,96,P90,90.0,18.002
537,1,BMI,M,96,P95,95.0,18.802
538,1,BMI,M,96,P97,97.0,19.371
539,1,BMI,M,96,P99,99.0,20.57
540,1,BMI,M,96,P999,99.9,23.127
541,1,BMI,M,97,P01,0.1,12.333
542,1,BMI,M,97,P1,1.0,13.002
543,1,BMI,M,97,P3,3.0,13.436
544,1,BMI,M,97,P5,5.0,13.681
545,1,BMI,M,97,P10,10.0,14.081
546,1,BMI,M,97,P15,15.0,14.368
547,1,BMI,M,97,P25,25.0,14.819
548,1,BMI,M,97,P50,50.0,15.761
549,1,BMI,M,97,P75,75.0,16.867
550,1,BMI,M,97,P85,85.0,17.544
551,1,BMI,M,97,P90,90.0,18.044
552,1,BMI,M,97,P95,95.0,18.852
553,1,BMI,M,97,P97,97.0,19.428
554,1,BMI,M,97,P99,99.0,20.645
555,1,BMI,M,97,P999,99.9,23.249
556,1,BMI,M,98,P01,0.1,12.346
557,1,BMI,M,98,P1,1.0,13.016
558,1,BMI,M,98,P3,3.0,13.451
559,1,BMI,M,98,P5,5.0,13.697
